ID_REF	GSM1599177	GSM1599178	GSM1599179	GSM1599180	GSM1599181	GSM1599182	GSM1599183	GSM1599184	GSM1599185	GSM1599186	GSM1599187	GSM1599188	GSM1599189
ITGA5	269.812	355.188	734.938	430.896	296.562	234.938	767.271	148.146	333.729	440.188	290.229	385.896	287.521
ITGA6	9.499985	8.1875	58.89575	5.9375	2.02083	0.8125	3.85417	4.166665	11.8542	3.416665	3.14583	6.875	NA
ITGA7	11.8542	18.2708	6.39583	11.1458	27.8542	9.77083	29.1042	12.9792	12.2292	4.4375	13.1875	4.3125	11.0625
TRHR	2.9375	9.1875	NA	1.145835	5.35417	4.22917	NA	3.85417	NA	NA	NA	5.39583	9.77083
LOC100132288	21.8125	23.7708	4.64583	20.6875	21.1042	0.270833	NA	9.60417	0.0208333	7.10417	3.22917	0.479167	9.27083
UFSP1	10.3125	0.6875	8.02083	4.0625	NA	NA	11.4792	NA	18.8542	25.4792	13.1875	5.9375	NA
UFSP2	106.688	169.688	53.4792	137.604	111.771	92.1042	103.521	59.2292	112.771	119.312	102.146	109.938	96.3125
OSAP	NA	2.10417	2.14583	NA	0.104167	1.1875	3.27083	4.64583	3.85417	4.4375	NA	3.27083	NA
LOC440558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC440551	13.3542	4.5625	0.6875	NA	3.10417	2.52083	11.3958	NA	9.72917	6.22917	3.35417	7.5625	20.2708
LOC440550	NA	5.60417	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35417	NA
CHST9	NA	NA	7.52083	NA	1.39583	NA	5.9375	NA	NA	NA	3.1875	NA	NA
CHST8	NA	6.77083	NA	NA	NA	5.1875	2.4375	6.77083	NA	NA	0.479167	1.3125	5.72917
CHST1	13.6458	8.97917	8.1875	6.72917	17.6875	12.0625	21.3125	8.9375	18.9792	7.4375	12.2292	7.97917	5.35417
CHST3	14.4375	8.72917	72.7708	9.89583	35.2708	4.64583	27.0208	15.8125	11.4375	9.0625	14.4792	10.2292	7.97917
CHST2	24.1458	11.3542	NA	24.9375	25.7292	16.2292	22.1875	11.3125	38.2708	38.3125	12.1042	53.0208	16.2708
CHST5	2.1666685	5.8125	3.64583	1.625	0.770833	NA	0.354167	NA	1.0625	NA	3.6875	NA	3.22917
CHST4	NA	0.770833	NA	NA	NA	NA	NA	9.89583	2.9375	NA	0.104167	NA	8.64583
CHST7	178.354	142.854	104.146	270.479	159.896	113.979	102.229	264.521	175.188	304.479	89.7708	219.104	192.438
CHST6	NA	NA	NA	NA	5.60417	NA	5.3125	NA	NA	NA	NA	NA	NA
ITGAX	353.3544	626.93875	998.1679	336.60425	473.99975	322.54175	372.4999	888.6046	330.93775	375.20825	379.54175	201.8959	353.9586
BCL2A1	458.521	346.688	487.562	172.438	114.271	97.7708	101.562	2471.56	230.229	251.729	151.438	177.104	219.896
ITGAV	29.4375	53.7292	19.5208	44.5625	49.8125	84.6042	65.8542	48.9792	94.1875	46.3125	113.021	87.8125	80.4792
ITGAL	533.146	348.521	607.979	472.354	517.312	285.146	684.979	545.271	555.896	729.729	569.521	593.271	445.021
ITGAM	1998.69	1876.6	2957.69	1642.19	1649.77	1548.02	1615.44	2923.31	2349.23	2533.48	1609.73	1549.35	1727.4
ITGAD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.47917
ITGAE	235.938	701.188	236.812	675.604	699.604	490.938	764.146	530.938	563.896	373.479	461.188	483.521	502.896
LOC653441	5.6875	3.10417	NA	0.666667	2.9375	0.4583335	4.4375	0.104167	1.35417	NA	NA	NA	NA
LOC646943	9.0625	1.35417	5.64583	26.5208	NA	6.5625	0.770833	0.270833	3.22917	9.5625	NA	7.3125	14.4792
LOC646946	0.604167	NA	NA	2.14583	NA	NA	NA	NA	NA	0.8125	NA	11.1875	0.770833
LOC646947	NA	NA	1.35417	2.14583	NA	NA	NA	NA	3.1875	NA	1.3125	NA	NA
IGF2R	2061.27	2228.73	4745.44	1479.27	929.604	1129.27	1073.98	3148.69	1448.48	2044.48	1802.15	1454.15	1164.35
SLC36A4	281.354	280.229	158.688	231.104	274.604	275.229	182.062	317.896	335.438	175.021	184.562	187.146	258.771
SLC36A3	NA	2.14583	NA	1.85417	0.104167	0.354167	9.9375	0.9375	1.1875	5.9375	2.85417	NA	NA
CKS1B	40.8958	66.5	37.5208	53.0	75.375	41.2292	31.77085	65.97915	67.52085	69.25	24.64585	52.64585	48.7292
SLC36A1	106.688	86.9375	342.521	55.6458	38.2292	91.1042	95.6042	221.979	106.438	85.8958	122.646	75.9792	107.979
C14orf115	5.8125	25.3958	0.6875	9.8125	NA	6.77083	4.6875	NA	3.77083	NA	5.1875	8.4375	18.8542
C14orf112	344.562	468.688	140.562	412.062	418.479	368.021	412.062	166.354	326.521	484.979	482.104	451.896	490.938
LOC729269	4.0625	9.8125	9.60417	8.77083	8.27083	19.8125	6.27083	0.729167	5.60417	1.35417	3.47917	11.6458	0.354167
LOC729266	6.77083	NA	19.3958	17.9375	0.104167	4.64583	NA	7.1875	4.64583	NA	0.0625	4.22917	6.85417
LOC729264	18.3958	10.062485	8.8333335	11.6458	6.27083	10.437515	5.8125	17.9792	13.1458	1.89583	5.5625	14.9375	NA
C14orf118	2.5624985	5.229165	7.85417	6.291665	7.104165	12.645835	1.7916685	11.1875	9.708335	9.0208335	12.75	16.60415	5.4375
C14orf119	9.22917	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1875	3.14583	2.14583
ART1	10.6458	6.47917	12.4375	29.3958	15.0208	5.77083	15.2708	19.6042	13.6875	21.7292	21.4375	20.9375	16.4375
ART3	NA	1.85417	NA	NA	NA	3.85417	NA	NA	NA	NA	NA	NA	NA
ART5	1.458335	NA	NA	NA	NA	0.229167	NA	NA	NA	NA	NA	NA	1.39583
ART4	NA	0.604167	4.64583	2.77083	4.97917	0.270833	4.0625	NA	12.1042	2.27083	1.5625	0.5625	4.0625
MGC57346	12.9792	17.0	NA	12.39585	6.10417	13.395835	NA	5.291665	4.166665	30.4375	10.2708	22.1875	14.4999835
CRTAM	NA	9.60417	NA	8.4375	6.47917	0.8125	11.3125	NA	8.02083	21.1458	NA	19.7292	4.97917
CADPS2	9.0625	8.0625	86.8542	NA	10.5208	8.02083	14.5625	5.3125	1.47917	0.9375	2.27083	1.22917	7.47917
CRTAP	90.7919	76.4374	48.1458	103.1664	220.625	264.9376	190.4586	55.375	98.20825	125.2916	142.8751	151.3126	154.9789
ADPGK	495.938	377.938	375.438	605.979	538.854	588.562	554.438	551.896	501.604	419.146	545.688	379.312	546.729
CPEB4	112.396	67.3958	479.146	57.4792	155.479	172.979	252.688	110.688	60.0208	28.8958	64.7292	55.4792	80.0208
CPEB1	0.895833	2.25	1.52083	1.3541665	2.4375	3.85417	0.8333335	5.35417	5.5625	4.35416666667	1.35417	6.72917	NA
CPEB3	112.8959	66.29175	100.5416	92.2501	82.31275	72.9999	58.7292	64.2294	91.2086	80.1876	83.1461	79.4794	107.0211
CPEB2	53.166665	29.125	166.729	31.2292	23.437485	62.33325	32.0625	52.3542	32.229165	15.95835	62.8542	15.083315	30.9792
SRBD1	231.479	177.396	370.354	102.521	205.729	156.354	113.521	142.646	157.854	230.562	189.688	263.979	214.396
ABAT	30.9236333333	44.1736	14.7847	26.7291666667	25.7847	42.34029	27.4653	32.4791666667	27.5208333333	23.2014	21.96529	33.9236233333	28.5069433333
LOC644544	12.7708	29.7292	6.60417	10.1875	13.7708	22.2708	7.89583	38.7292	6.72917	16.3125	12.7292	10.4375	10.5208
LOC644548	NA	6.47917	5.52083	NA	NA	1.35417	NA	9.0625	NA	NA	NA	NA	NA
FLJ46154	NA	3.4375	NA	5.39583	NA	11.1875	NA	0.9375	5.77083	5.39583	3.6875	7.85417	5.3125
FLJ46156	0.4375	1.22917	14.7292	NA	13.0625	3.5625	NA	6.35417	NA	NA	10.3125	0.145833	NA
LOC284861	2.9375	NA	NA	5.02083	1.47917	0.270833	NA	1.8125	NA	NA	5.8125	3.10417	NA
KLRA1	7.1875	0.104167	2.77083	NA	9.60417	7.1875	NA	0.229167	NA	NA	NA	12.1042	NA
PHOX2A	3.89583	12.4375	9.4375	NA	NA	NA	10.6875	4.39583	3.6875	3.10417	3.27083	NA	5.8125
PHOX2B	7.29165	6.208335	6.72917	1.7291685	NA	0.3125	3.875	9.4375	5.02083	3.0625	4.895835	3.6875	4.708335
UPK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.60417	NA	NA	0.8125
CFH	8.41665	8.29165	13.333335	8.91665	7.52082	12.59029	17.9375165	10.2708165	9.9236	17.09029	12.1041766667	8.38195566667	7.6874835
CFI	28.2292	13.1875	40.3958	9.1875	15.8125	24.7708	13.5625	11.8542	9.3125	16.4375	22.9375	23.8958	17.7708
ANKFY1	192.159733333	99.0209	115.43775	101.465333333	117.618233333	87.5901666667	50.8263333333	60.7847666667	129.756933333	108.451543333	143.687566667	128.298766667	126.5071
CFB	10.9375	11.1875	3.22917	7.52083	0.6875	3.10417	6.22917	3.0625	18.1458	32.7708	20.1458	11.6458	11.7292
CFP	640.938	374.854	262.771	517.521	395.229	417.896	688.062	581.229	478.771	582.521	355.396	546.604	499.979
AAAS	21.0208	7.1875	NA	16.6875	14.5208	11.0625	4.0625	4.4375	15.8125	22.7292	13.1875	17.2708	12.3958
SIDT1	NA	NA	NA	15.1042	1.3125	7.22917	5.8125	NA	NA	0.9375	5.64583	2.9375	11.3958
SIDT2	2051.52	1455.9	334.521	1060.15	1223.77	1178.9	1842.06	417.312	1660.52	2291.1	1524.35	1139.73	1567.06
SAGE1	1.97917	5.64583	0.520833	7.35417	0.3125	NA	1.895835	NA	0.8125	5.10417	0.6875	11.4792	0.729167
C4orf18	426.576166667	410.284943333	206.43725	265.840056667	448.0	294.20139	195.43739	142.548776667	697.582	599.21661	624.230723333	640.589943333	526.590056667
C4orf19	NA	NA	1.35417	3.22917	NA	0.604167	2.9375	NA	NA	4.64583	NA	NA	NA
SLC7A6OS	16.4375	20.6875	13.1875	34.7708	21.0625	15.2708	35.7708	33.0208	31.6458	18.2292	27.4792	27.8542	16.6875
C4orf14	233.771	276.146	152.146	384.312	277.104	285.021	292.896	220.854	324.479	601.562	301.146	319.354	259.188
C4orf15	NA	NA	3.89583	NA	NA	NA	5.8125	0.104167	NA	NA	NA	NA	NA
C4orf16	19.9375	21.3125	9.375015	19.91665	22.91665	23.125	10.5	13.20835	24.375	23.375	39.39585	37.6875	39.47915
C4orf17	NA	NA	3.89583	NA	11.1875	NA	NA	2.52083	NA	NA	NA	NA	NA
C4orf11	5.22917	9.0625	10.2292	0.6875	7.64583	NA	NA	3.64583	3.0625	16.4375	6.3125	6.22917	2.5625
C4orf12	5.64583	5.60417	NA	2.5625	NA	NA	9.77083	NA	5.39583	1.1875	3.1875	9.14583	NA
EFHA1	567.438	569.104	332.188	483.521	518.104	512.104	263.646	518.688	515.646	486.896	614.646	573.646	554.438
EFHA2	5.8125	3.10417	NA	0.354167	6.60417	17.7292	10.7292	3.10417	7.27083	0.354167	1.6875	2.4375	15.4792
AAA1	3.89583	8.07639	18.1180533333	2.71527666667	9.3750075	5.70139	5.5937475	5.375	3.83333	6.541665	3.520835	9.02082333333	5.38194433333
ABCE1	80.5625	56.625	0.145833	91.95835	82.7083	146.6045	99.3541	16.5	71.875	71.04165	145.3335	142.375	138.771
LOC391609	2.9375	0.520833	3.14583	5.0625	4.9375	NA	6.85417	NA	0.0625	0.3125	3.27083	11.5208	1.27083
LOC286297	1.77083	5.39583	13.79165	NA	2.14583	7.333315	12.8542	12.3125	8.6875	5.02083	4.541665	3.85417	13.7708
C15orf26	4.97917	13.8542	NA	52.9792	6.5625	9.60417	1.77083	11.0625	7.22917	15.9375	2.60417	19.2708	NA
C15orf27	4.27083	NA	NA	0.6875	NA	NA	NA	NA	NA	3.6875	NA	NA	NA
C15orf24	858.021	928.604	547.354	682.771	865.854	806.312	1101.06	1031.81	716.229	946.062	910.604	986.479	887.896
C15orf23	21.125	11.916665	16.16665	18.625	25.1042	27.4375	22.1458	10.04165	21.85415	29.2083	12.54165	17.5625	12.45835
C15orf20	3.85417	12.3542	NA	0.270833	9.0625	NA	3.85417	6.85417	0.770833	21.1458	5.8125	NA	NA
C15orf21	8.99305666667	10.270835	14.4097233333	5.583335	5.09028	8.09026666667	5.71526566667	20.6666835	24.8125	8.562485	9.60417	10.0208233333	4.895835
C15orf29	51.5625	77.1042	214.104	50.9792	31.9375	42.2708	40.6042	42.7708	57.9375	58.1042	56.6458	54.1458	43.2292
FLJ10996	7.22917	5.3125	5.60417	11.6458	NA	2.14583	2.97917	13.5625	13.7708	14.8958	5.64583	13.5625	9.8125
TP73L	NA	2.85417	NA	1.1875	13.1875	11.5208	NA	1.52083	NA	8.77083	NA	0.3125	NA
ZNF117	1.3125	NA	NA	1.85417	1.77083	8.35417	NA	NA	NA	NA	0.979167	NA	NA
ZNF114	11.1875	12.47915	22.02085	8.812485	14.291685	4.416665	10.937485	4.75	4.770835	6.375	7.458315	6.499985	4.3125
SEZ6L	1.6875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKAR2A	34.3125	23.2292	51.5208	34.5625	16.9375	21.7292	40.0625	32.6458	27.4792	39.3125	30.1042	65.9375	48.3542
C20orf52	1514.6	1790.19	1213.9	1630.77	1596.1	1160.56	1418.31	1301.65	1419.48	1931.56	1181.9	1406.85	1296.77
C20orf51	10.5208	0.0208333	0.104167	4.4375	3.6875	2.0625	NA	9.0625	NA	5.64583	5.60417	0.104167	8.14583
PRKAR2B	NA	4.64583	NA	28.8958	NA	1.14583	NA	NA	NA	13.5625	5.22917	8.4375	3.10417
MAGT1	5327.48	5970.73	11424.0	2813.06	4815.9	5122.02	6139.4	4481.65	3490.15	1004.44	2953.35	2816.15	3874.1
C20orf55	344.271	305.271	217.104	445.646	245.271	204.979	281.271	237.479	393.521	317.938	170.729	142.646	202.646
C20orf54	3.10417	NA	19.8542	NA	5.0625	4.72917	4.10417	NA	NA	NA	0.979167	NA	2.4375
TMEM200B	NA	NA	0.145833	NA	2.9375	NA	NA	9.14583	7.64583	NA	10.4375	5.52083	NA
ITGA2B	48.1458	23.4792	82.0208	182.062	11.4792	31.2292	33.8542	5.52083	19.3125	75.5625	44.0208	27.1458	37.9375
PHACTR4	326.312	268.938	46.6875	265.604	373.854	121.965333333	162.4375835	93.06225	331.104	262.729	323.771	347.396	376.979
L3MBTL	6.416665	5.0625	5.9375	5.0	5.541665	4.10417	9.21527766667	5.39583333333	3.583335	4.72917	4.9375	5.479165	4.8437575
OR2K2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHACTR3	2.215279	NA	7.041665	NA	5.22917	2.39583333333	0.9375	0.395833	4.229165	3.0625	0.604167	NA	2.97917
NLGN1	NA	NA	1.9375	5.0625	11.6458	3.10417	6.85417	NA	NA	NA	NA	NA	5.02083
KRTAP2-1	1.64583	1.35417	12.7292	NA	2.14583	7.22917	NA	3.89583	4.35417	9.5625	NA	2.0625	1.9375
LOC390956	7.60417	4.64583	NA	8.9375	NA	4.64583	NA	NA	4.72917	5.35417	9.89583	6.85417	9.4375
NR1D1	4.64583	5.39583	15.2708	4.72917	NA	13.6458	0.8125	4.0625	4.4375	5.02083	7.39583	5.64583	8.35417
OGFR	258.396	234.604	322.521	229.229	166.562	151.062	216.479	172.979	202.229	422.146	297.729	339.938	257.479
MGC35440	3.97917	0.604167	37.6875	9.8125	9.89583	5.35417	24.9375	7.1875	2.85417	0.354167	NA	2.4375	13.8958
ORC3L	75.6875	63.6042	81.6875	66.5625	68.1042	66.6042	40.3542	58.9792	66.0208	69.3125	57.3125	59.8958	72.1875
PTCH2	NA	NA	8.10417	1.77083	NA	4.0625	1.22917	2.14583	NA	NA	NA	NA	NA
PTCH1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIMM44	20.3958	18.2708	2.14583	16.9375	10.9375	10.5208	33.0625	NA	21.7292	24.2292	21.8542	11.7292	27.2708
LOC642527	1.39583	1.1875	NA	NA	NA	NA	NA	NA	0.354167	NA	2.9375	NA	2.64583
LOC642520	3.10417	NA	0.854167	4.10417	3.22917	4.0625	NA	5.9375	NA	22.9375	1.89583	3.3125	10.4375
LOC642521	NA	NA	NA	2.0625	NA	NA	NA	0.0625	2.14583	NA	NA	1.89583	4.47917
RAD9B	NA	NA	NA	NA	0.5625	3.85417	NA	NA	NA	5.9375	NA	1.3125	8.35417
RAD9A	19.6875	24.3958	73.9792	46.7292	31.3125	13.4375	29.3958	10.4375	29.1458	37.3542	25.1875	16.9375	23.1042
LOC642528	13.5625	11.5208	19.8542	6.60417	13.6458	3.22917	23.1875	8.8125	2.0625	9.1875	6.1875	13.1875	4.3125
ERGIC3	259.5209	440.1666	207.68775	499.312	475.375	355.0625	463.563	331.8334	528.7295	633.731	378.229	477.958	392.875
ERGIC1	219.125	153.09039	480.4235	86.8402233333	152.09039	127.840056667	163.909723333	234.5624	76.5346766667	67.7846566667	54.6597233333	72.08335	59.4652233333
B3GAT3	14.0208	20.6875	NA	10.7292	5.60417	4.5625	28.8542	NA	16.9375	17.3958	25.3542	14.4375	19.5208
B3GAT2	NA	1.9375	NA	NA	NA	NA	1.14583	NA	NA	NA	NA	NA	NA
B3GAT1	8.104165	6.71526666667	5.70139	12.104165	13.3819233333	12.520815	22.04165	10.6041533333	4.84027766667	14.3125	9.1666835	10.60415	24.7708
CALM2	6231.15	5693.35	9483.98	5244.98	6139.4	6523.98	4190.23	3868.73	6968.48	6816.69	6066.52	6151.1	6816.69
CALM3	2793.6	2217.52	1292.23	2854.69	2145.15	2413.15	2659.73	3322.4	2475.73	3079.06	3168.02	2914.9	2872.27
SPG21	91.8956	44.41665	35.3125	35.72915	136.20825	164.4374	78.6876	60.81225	50.20835	85.2499	93.7291	111.39575	76.1876
LOC728825	28.4792	17.7708	NA	12.8542	42.1875	43.8542	35.6042	40.6458	23.1875	39.3542	35.6042	42.1875	36.3958
GSDMA	4.0625	NA	11.6458	11.0208	NA	5.39583	7.64583	NA	1.9375	NA	0.8125	4.22917	NA
GSDMB	102.798666667	81.7985666667	135.020866667	70.7986666667	183.2429	195.993233333	188.4791	64.021	88.5902333333	21.1875	64.8681	40.6180666667	77.0626666667
GSDMC	6.22917	NA	NA	NA	5.3125	3.47917	NA	3.6875	NA	NA	NA	NA	0.6875
GSDMD	456.188	537.229	656.062	369.646	328.812	256.062	405.896	544.104	600.188	614.938	687.771	659.771	447.646
UPK1A	5.60417	6.72917	NA	NA	7.1875	0.104167	NA	NA	NA	3.89583	NA	5.60417	4.72917
UPK1B	NA	NA	NA	NA	12.3542	1.5625	30.5208	8.10417	4.4375	15.0208	2.4375	9.0625	5.77083
DLGAP2	NA	NA	NA	2.9375	0.8125	NA	NA	NA	0.145833	NA	NA	2.47917	NA
DLGAP1	2.5625	0.104167	14.8125	2.02083	5.22917	NA	NA	1.3125	NA	4.64583	NA	NA	5.52083
DLGAP4	48.8125	37.2708165	28.3541766667	61.0625	19.7291666667	47.8958	39.47915	78.1875	48.20835	55.771085	78.6458	72.6458	21.770835
DLGAP5	15.7292	NA	4.64583	2.72917	1.52083	0.270833	NA	27.0625	19.8542	NA	6.77083	NA	NA
CYP27B1	NA	NA	12.2708	3.10417	11.1042	NA	17.7292	3.6875	NA	13.7708	NA	8.02083	NA
FLJ32784	8.020815	15.6875	14.6041835	4.3125	2.0625	9.29165	7.97917	6.979165	NA	6.041665	6.666665	8.333335	8.9375
OIP5	13.375	9.375	49.0625	7.75	7.520835	8.708335	13.02085	34.52085	28.3125	13.1667	18.7292	8.75	9.374985
LOC728799	NA	NA	27.7292	NA	1.5625	NA	NA	5.8125	0.9375	1.35417	1.64583	2.4375	3.10417
SFRS12IP1	NA	NA	NA	10.7292	NA	8.10417	NA	1.5625	8.02083	5.02083	NA	3.0625	NA
GSDM1	38.4375	9.8125	7.85417	38.0625	15.4375	34.9792	20.1458	71.8958	15.2708	73.8125	140.938	46.6458	109.312
PTPN18	23.8125	1.3125	0.104167	30.2292	11.3125	6.47917	23.3958	16.4375	26.4792	36.6458	23.4792	27.0625	15.7708
PTPN13	5.64583	10.4792	5.3125	3.10417	14.8125	0.479167	5.02083	5.02083	1.7083335	3.6875	2.9375	0.104167	4.4375
PTPN12	566.521	418.9375	677.9585	453.8125	425.5835	537.2085	333.812	623.771	422.729	514.958	719.104	525.25	503.667
PTPN11	205.729	241.646	138.854	302.771	310.562	258.979	198.229	355.729	369.396	261.646	399.896	410.896	396.688
FLJ35785	18.479165	10.2847323333	42.146	25.7292	18.4514	19.625	39.3542	19.3403	14.79165	3.99305666667	12.749985	12.79165	11.0833165
PTPN14	6.39583	1.35417	2.9375	1.1875	NA	NA	3.85417	0.270833	1.47917	6.77083	NA	NA	NA
LYAR	344.0	292.667	71.6249	197.979	238.6665	407.7085	186.1875	129.1459	272.167	250.7295	323.729	267.375	408.8335
DMRTB1	7.10417	NA	NA	NA	9.4375	5.60417	NA	NA	NA	1.64583	5.52083	0.104167	1.5625
C2orf82	9.1875	0.4375	NA	2.64583	NA	NA	NA	8.22917	2.77083	5.10417	9.77083	NA	NA
C2orf86	NA	5.25	NA	0.395833	4.145835	5.4374835	8.041665	5.8125	NA	5.35417	4.8125	9.937485	4.10417
C2orf88	3.27083	NA	12.3125	3.10417	5.97917	NA	13.3958	NA	4.0625	12.9792	4.64583	NA	7.1875
MSMP	NA	0.270833	NA	9.4375	NA	2.9375	0.104167	1.52083	NA	2.0625	NA	NA	NA
TRAPPC6B	87.8403233333	96.4234666667	135.6041	67.2847666667	64.00689	83.0346666667	33.7291666667	42.3402766667	68.9236666667	64.5763433333	99.4098	93.7847766667	68.8126766667
LOC647096	NA	NA	4.4375	NA	0.520833	1.52083	3.85417	NA	0.6875	NA	NA	NA	1.14583
HLA-DQB1	63.1458	108.146	4.22917	229.021	289.271	185.312	322.312	8.02083	62.2292	221.604	194.062	300.229	140.188
MSMB	3.6875	0.9375	NA	NA	NA	NA	0.7083335	NA	NA	NA	NA	NA	NA
HLA-DQB2	NA	7.27083	NA	1.5625	2.5625	3.1875	NA	8.5625	NA	NA	16.6042	0.6875	NA
CDK7	185.229	196.396	187.396	167.104	159.438	206.604	141.771	385.062	162.396	147.521	185.229	148.521	201.688
FOXS1	NA	NA	2.52083	NA	1.9375	3.4375	4.35417	NA	NA	NA	NA	NA	NA
LOC643738	12.1458	7.5625	10.2292	21.0208	5.9375	8.4375	19.5208	20.9792	16.1042	17.9375	25.5208	16.8958	11.8542
HAPLN4	NA	NA	NA	NA	5.22917	NA	1.35417	NA	NA	NA	NA	NA	NA
LOC643734	NA	NA	5.60417	NA	NA	0.0208333	NA	6.5625	NA	NA	NA	NA	NA
LOC643731	5.39583	10.6875	0.229167	3.35417	8.02083	4.35417	0.104167	0.229167	4.22917	2.9375	NA	NA	NA
ZFP161	85.6875	91.0208	16.2708	68.6458	81.1042	124.104	79.4792	63.5208	103.062	119.646	96.9375	115.812	81.9792
CAMKK2	144.3961	90.6874	753.417	60.9169	54.708415	45.52085	111.2914	207.14575	80.8334	175.14575	121.0001	129.97925	92.0414
CAMKK1	4.64583	9.39583	5.70833	3.5625	6.14585	8.6875	5.8125	0.3125	10.3958	3.6458315	1.6041685	9.0625	8.22917
LOC441046	1.89583	NA	NA	NA	NA	2.4375	3.10417	NA	3.5625	NA	NA	1.3125	NA
CICE	138.104	121.188	62.1042	102.229	205.312	184.188	214.396	130.688	78.9792	138.771	112.396	112.354	113.562
LOC440792	NA	0.4375	NA	0.270833	10.7292	2.4375	NA	8.1875	0.8125	NA	2.52083	6.72917	NA
LOC440795	8.47917	3.10417	6.27083	5.22917	NA	7.5625	NA	NA	2.85417	NA	NA	NA	NA
RPL36AL	4323.045	3894.625	1061.29	3455.145	4569.645	4269.375	3931.75	2868.935	3022.875	3758.67	4139.395	4028.875	4236.375
CHMP7	11.1875	7.5625	6.72917	3.0625	NA	6.35417	10.8542	7.52083	14.8958	14.6458	20.3542	21.4375	21.7292
CHMP6	NA	NA	NA	NA	NA	NA	3.14583	NA	NA	6.1875	0.6875	3.10417	7.60417
CHMP5	345.9165	219.3749	177.02075	125.7914	258.25	325.604	133.4166	165.1669	186.24975	249.75	307.604	278.9165	245.708
OR52N4	0.3125	NA	16.6042	NA	8.4375	7.60417	2.77083	NA	1.1875	NA	NA	NA	NA
OR52N5	1.5625	5.3125	30.4375	16.2708	13.1875	8.02083	17.0625	16.4375	0.520833	13.9375	8.97917	11.3125	2.85417
OR52N2	8.64583	7.47917	2.27083	10.0625	6.77083	5.52083	20.3542	NA	7.47917	15.2708	8.60417	16.1875	9.5625
OR52N1	0.8125	1.5625	NA	2.52083	NA	NA	4.64583	NA	NA	3.0625	NA	1.3125	NA
LY6G6C	0.770833	2.9375	NA	1.3125	9.77083	0.104167	NA	4.10417	5.35417	NA	4.10417	NA	2.9375
LY6G6D	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8125	NA	NA	NA
